ENSG	GeneSymbol	log2FoldChange	padj
ENSG00000005810.16	MYCBP2	-0.136	0.979689701413654
ENSG00000005812.9	FBXL3	-0.297	0.916921471542438
ENSG00000005844.16	ITGAL	-2.362	0.153323409804941
ENSG00000005882.10	PDK2	-0.784	0.590060197685693
ENSG00000005884.16	ITGA3	0.025	0.998117201067154
ENSG00000005889.14	ZFX	-0.05	0.993056238568157
ENSG00000005893.14	LAMP2	-0.833	0.561042844133145
ENSG00000005961.16	ITGA2B	-0.3	0.972625444616831
ENSG00000006007.10	GDE1	0.163	0.965125645824021
ENSG00000006015.16	C19orf60	-0.765	0.68335320733183
ENSG00000006016.9	CRLF1	0.579	0.860375266302826
ENSG00000006025.10	OSBPL7	0.797	0.814409416006141
ENSG00000006042.10	TMEM98	0.616	0.900935288142214
ENSG00000006047.11	YBX2	3.41	0.326681773331787
ENSG00000006062.12	MAP3K14	-0.632	0.846328819118452
ENSG00000006071.10	ABCC8	-2.057	0.744903123684572
ENSG00000006118.13	TMEM132A	-2.016	0.59990694292752
ENSG00000006125.15	AP2B1	-0.244	0.909679557431396
ENSG00000006194.9	ZNF263	0.254	0.874314743267304
ENSG00000006210.6	CX3CL1	-0.624	0.899743949797366
ENSG00000006282.18	SPATA20	-0.232	0.972374169433838
ENSG00000006283.16	CACNA1G	-1.867	0.688471380990153
ENSG00000006327.12	TNFRSF12A	-0.283	0.970685793303832
ENSG00000006432.14	MAP3K9	1.117	0.58830943415949
ENSG00000006451.6	RALA	0.017	0.99721597945701
ENSG00000006453.12	BAIAP2L1	-0.292	0.94862050693917
ENSG00000006459.9	KDM7A	1.473	0.173511168333269
ENSG00000006468.12	ETV1	-0.081	0.994617878470561
ENSG00000006530.14	AGK	0.647	0.651512886039417
ENSG00000006534.14	ALDH3B1	0.686	0.912181345493727
ENSG00000006555.9	TTC22	-0.4	0.929442812184814
ENSG00000006576.15	PHTF2	-0.682	0.633878258017506
ENSG00000006606.7	CCL26	-0.006	0.999421944799129
ENSG00000006607.12	FARP2	0.503	0.734604220461999
ENSG00000006611.14	USH1C	-0.419	0.959546987546759
ENSG00000006625.16	GGCT	0.481	0.825694563181144
ENSG00000006634.6	DBF4	0.683	0.759299384421383
ENSG00000006638.10	TBXA2R	-0.052	0.991023137179418
ENSG00000006652.12	IFRD1	-0.144	0.968299527760986
ENSG00000006695.9	COX10	-0.26	0.957820989279676
ENSG00000006704.9	GTF2IRD1	1.535	0.316571632674151
ENSG00000006712.13	PAF1	-0.39	0.826546311930358
ENSG00000006715.14	VPS41	-0.479	0.781778877088174
ENSG00000006740.15	ARHGAP44	-0.133	0.986148561584461
ENSG00000006744.17	ELAC2	0.235	0.907858405435781
ENSG00000006747.13	SCIN	0.1	0.994617878470561
ENSG00000006756.14	ARSD	-0.111	0.984483347705939
ENSG00000006757.10	PNPLA4	-0.264	0.959860533173091
ENSG00000006831.9	ADIPOR2	0.345	0.85013498923442
ENSG00000006837.10	CDKL3	-0.07	0.987824373716955
ENSG00000007001.11	UPP2	-1.589	0.7222445056072
ENSG00000007038.9	PRSS21	0.624	0.974712192369086
ENSG00000007047.13	MARK4	-0.793	0.67793524033552
ENSG00000007062.10	PROM1	-0.931	0.912181345493727
ENSG00000007080.9	CCDC124	-0.508	0.839661248160952
ENSG00000007129.16	CEACAM21	-1.831	0.398041468206234
ENSG00000007168.11	PAFAH1B1	0.212	0.901265217026608
ENSG00000007171.15	NOS2	-0.739	0.890017677535995
ENSG00000007174.16	DNAH9	1.284	0.81218425310306
ENSG00000007202.13	KIAA0100	0.631	0.659244756679211
ENSG00000007216.13	SLC13A2	2.072	0.662277319912929
ENSG00000007237.17	GAS7	-3.756	0.214481195227108
ENSG00000007255.9	TRAPPC6A	-0.39	0.918445178675229
ENSG00000007264.12	MATK	-1.977	0.143914096300509
ENSG00000007306.13	CEACAM7	2.429	0.775154606503161
ENSG00000007312.11	CD79B	-3.206	0.167214911788959
ENSG00000007314.10	SCN4A	-1.83	0.503795196441402
ENSG00000007341.17	ST7L	-0.254	0.918638891010846
ENSG00000007372.19	PAX6	-1.058	0.763138067853229
ENSG00000007376.6	RPUSD1	0.218	0.947381690657107
ENSG00000007384.14	RHBDF1	-0.663	0.787438831668032
ENSG00000007392.15	LUC7L	0.712	0.698824799116851
ENSG00000007402.10	CACNA2D2	-0.352	0.93831742491173
ENSG00000007516.12	BAIAP3	-1.255	0.722328703768037
ENSG00000007520.3	TSR3	-0.196	0.961975974584379
ENSG00000007541.13	PIGQ	-0.334	0.901397251932224
ENSG00000007545.14	CRAMP1	0.533	0.750513034441401
ENSG00000007866.17	TEAD3	-0.268	0.949485528707759
ENSG00000007908.14	SELE	-2.835	0.491914081812819
ENSG00000007923.14	DNAJC11	0.088	0.982442185129749
ENSG00000007933.11	FMO3	-1.639	0.805641665732173
ENSG00000007944.13	MYLIP	0.349	0.918445178675229
ENSG00000007952.16	NOX1	0.977	0.521939398201114
ENSG00000007968.6	E2F2	0.233	0.973197721534724
ENSG00000008018.8	PSMB1	-0.14	0.975758083741914
ENSG00000008056.11	SYN1	-1.008	0.732602502733401
ENSG00000008083.12	JARID2	1.097	0.196818917042183
ENSG00000008086.9	CDKL5	-1.286	0.678672854126063
ENSG00000008118.8	CAMK1G	-1.228	0.618043055226378
ENSG00000008128.21	CDK11A	0.605	0.876327344828934
ENSG00000008130.14	NADK	0.478	0.809226379056336
ENSG00000008226.18	DLEC1	-0.176	0.977739368539447
ENSG00000008256.14	CYTH3	-0.327	0.912770651352368
ENSG00000008277.13	ADAM22	-0.872	0.863947395423879
ENSG00000008282.6	SYPL1	-0.379	0.725233356578407
ENSG00000008283.14	CYB561	-0.152	0.972644172237242
ENSG00000008294.19	SPAG9	-0.011	0.998117201067154
ENSG00000008300.13	CELSR3	0.537	0.953483368682052
ENSG00000008311.13	AASS	-1.096	0.819630528158827
ENSG00000008323.14	PLEKHG6	-0.372	0.960493974022809
ENSG00000008324.9	SS18L2	-0.311	0.924675839594532
ENSG00000008382.14	MPND	-0.8	0.665559219861617
ENSG00000008394.11	MGST1	0.89	0.84881447098596
ENSG00000008405.10	CRY1	0.368	0.863594641749752
ENSG00000008441.15	NFIX	-1.362	0.577470073002252
ENSG00000008513.13	ST3GAL1	0.1	0.991023137179418
ENSG00000008516.15	MMP25	-0.8	0.818116506566838
ENSG00000008517.15	IL32	-0.805	0.841905416511365
ENSG00000008710.16	PKD1	0.257	0.903883827561798
ENSG00000008735.13	MAPK8IP2	-3.011	0.266665132653414
ENSG00000008838.16	MED24	0.529	0.621114414151632
ENSG00000008853.15	RHOBTB2	-0.315	0.93850550862761
ENSG00000008869.10	HEATR5B	0.224	0.930688958821927
ENSG00000008952.15	SEC62	-0.567	0.60168971626894
ENSG00000008988.8	RPS20	-0.376	0.917493413278479
ENSG00000009307.14	CSDE1	-0.543	0.671637659774893
ENSG00000009335.16	UBE3C	-0.131	0.970975616905045
ENSG00000009413.14	REV3L	-0.069	0.990324024687348
ENSG00000009694.12	TENM1	-2.427	0.3955141985361
ENSG00000009724.15	MASP2	-1.829	0.801984835095088
ENSG00000009765.13	IYD	-2.186	0.717149907722154
ENSG00000009780.14	FAM76A	-0.012	0.998117201067154
ENSG00000009790.13	TRAF3IP3	-1.964	0.321300545753508
ENSG00000009830.10	POMT2	0.374	0.87108244849949
ENSG00000009844.14	VTA1	0.435	0.8166327351501
ENSG00000009950.14	MLXIPL	-1.088	0.853211311479683
ENSG00000009954.9	BAZ1B	-0.117	0.94862050693917
ENSG00000010017.12	RANBP9	0.036	0.991023137179418
ENSG00000010030.12	ETV7	-0.743	0.887513523611405
ENSG00000010072.14	SPRTN	0.215	0.946155069481969
ENSG00000010165.18	METTL13	0.227	0.93361492907436
ENSG00000010219.12	DYRK4	-0.312	0.934642054934588
ENSG00000010244.15	ZNF207	0.24	0.757365936557873
ENSG00000010256.9	UQCRC1	-0.405	0.87394802434501
ENSG00000010270.12	STARD3NL	-0.424	0.747016014759409
ENSG00000010278.10	CD9	1.111	0.785055129584651
ENSG00000010292.11	NCAPD2	0.846	0.479305179078667
ENSG00000010295.18	IFFO1	-1.137	0.68335320733183
ENSG00000010310.7	GIPR	-0.321	0.977065385518102
ENSG00000010318.18	PHF7	-0.155	0.978248046647249
ENSG00000010319.5	SEMA3G	-0.999	0.734604220461999
ENSG00000010322.14	NISCH	-0.034	0.994366705838497
ENSG00000010327.9	STAB1	-0.678	0.797070778099271
ENSG00000010361.12	FUZ	-0.074	0.988490803263847
ENSG00000010404.16	IDS	-0.764	0.678792952126279
ENSG00000010438.15	PRSS3	0.898	0.942014766032331
ENSG00000010539.10	ZNF200	-0.031	0.992146469408355
ENSG00000010610.8	CD4	-1.951	0.259962979600966
ENSG00000010626.13	LRRC23	1.053	0.550424066059536
ENSG00000010671.14	BTK	-2.426	0.137358974870823
ENSG00000010704.17	HFE	0.129	0.979374100058666
ENSG00000010803.15	SCMH1	-1.027	0.37788473839769
ENSG00000010810.16	FYN	1.253	0.670121924387976
ENSG00000010818.7	HIVEP2	-0.443	0.882744912678737
ENSG00000010932.14	FMO1	-3.299	0.405413549253851
ENSG00000011007.11	TCEB3	0.315	0.892513747631369
ENSG00000011009.9	LYPLA2	-0.159	0.968299527760986
ENSG00000011021.20	CLCN6	0.635	0.511165238522247
ENSG00000011028.12	MRC2	-0.238	0.975758083741914
ENSG00000011052.20	NME1-NME2	-0.984	0.792254528571849
ENSG00000011105.10	TSPAN9	-0.952	0.547491129112748
ENSG00000011114.13	BTBD7	0.12	0.978108208915807
ENSG00000011132.10	APBA3	-0.474	0.744099920118181
ENSG00000011143.15	MKS1	0.48	0.704294006945378
ENSG00000011198.6	ABHD5	-0.23	0.961425881235217
ENSG00000011201.9	ANOS1	-1.058	0.821280978410385
ENSG00000011243.16	AKAP8L	-0.451	0.81812046281286
ENSG00000011258.14	MBTD1	0.304	0.8802950305154
ENSG00000011260.12	UTP18	0.029	0.991352641036274
ENSG00000011275.17	RNF216	0.2	0.919684934485488
ENSG00000011295.14	TTC19	0.199	0.941231147007231
ENSG00000011304.15	PTBP1	-0.067	0.972374169433838
ENSG00000011332.18	DPF1	0.05	0.99504275649889
ENSG00000011347.8	SYT7	-0.5	0.963337893034027
ENSG00000011376.8	LARS2	0.199	0.936755092288146
ENSG00000011405.12	PIK3C2A	0.175	0.964500473131924
ENSG00000011422.10	PLAUR	-0.786	0.897369585801401
ENSG00000011426.9	ANLN	0.948	0.807313929764071
ENSG00000011451.16	WIZ	-0.395	0.704873278343962
ENSG00000011454.15	RABGAP1	0.094	0.984635494022998
ENSG00000011465.15	DCN	-1.278	0.72046778785986
ENSG00000011478.10	QPCTL	0.169	0.97271383629171
ENSG00000011485.13	PPP5C	-0.116	0.977065385518102
ENSG00000011523.12	CEP68	0.002	0.999560779320997
ENSG00000011566.13	MAP4K3	0.417	0.909749102909927
ENSG00000011590.12	ZBTB32	-0.48	0.931063770601063
ENSG00000011600.10	TYROBP	-1.644	0.330553525084869
ENSG00000011638.9	TMEM159	-0.07	0.994617878470561
ENSG00000012048.18	BRCA1	0.794	0.665892075976094
ENSG00000012061.14	ERCC1	-0.172	0.963337893034027
ENSG00000012124.13	CD22	-0.157	0.990164094155935
ENSG00000012171.16	SEMA3B	2.382	0.259962979600966
ENSG00000012174.10	MBTPS2	-0.481	0.821850474187064
ENSG00000012211.11	PRICKLE3	0.458	0.703671500363615
ENSG00000012223.11	LTF	-3.435	0.505213617383502
ENSG00000012232.7	EXTL3	-0.06	0.991023137179418
ENSG00000012504.12	NR1H4	-2.222	0.355922069108342
ENSG00000012660.12	ELOVL5	0.233	0.960682114880048
ENSG00000012779.9	ALOX5	-2.126	0.462250883068455
ENSG00000012822.14	CALCOCO1	-0.049	0.991023137179418
ENSG00000012963.12	UBR7	-0.004	0.999405775904437
ENSG00000012983.10	MAP4K5	0.186	0.968346762482424
ENSG00000013016.13	EHD3	-0.711	0.8166327351501
ENSG00000013275.6	PSMC4	-0.472	0.781763138008337
ENSG00000013288.7	MAN2B2	-0.604	0.765814921967754
ENSG00000013297.9	CLDN11	-0.754	0.90622685812824
ENSG00000013306.14	SLC25A39	0.064	0.987561006754262
ENSG00000013364.17	MVP	-0.338	0.912324171937227
ENSG00000013374.14	NUB1	-0.614	0.428330353838219
ENSG00000013375.14	PGM3	0.737	0.665559219861617
ENSG00000013392.7	RWDD2A	0.391	0.910121113111785
ENSG00000013441.14	CLK1	0.305	0.900935288142214
ENSG00000013503.8	POLR3B	-0.047	0.991352641036274
ENSG00000013523.8	ANGEL1	1.107	0.442627614235299
ENSG00000013561.16	RNF14	-0.745	0.668264064134118
ENSG00000013563.12	DNASE1L1	-0.282	0.920292370961534
ENSG00000013573.15	DDX11	1.131	0.318430439510573
ENSG00000013583.7	HEBP1	-0.274	0.945786460159932
ENSG00000013588.5	GPRC5A	3.132	0.326351279075791
ENSG00000013619.12	MAMLD1	-1.1	0.705729463852363
ENSG00000013725.13	CD6	-2.032	0.410305246832423
ENSG00000013810.17	TACC3	-0.115	0.987145042483264
ENSG00000014123.9	UFL1	0.143	0.977181771104685
ENSG00000014138.7	POLA2	-0.395	0.864266565795861
ENSG00000014164.6	ZC3H3	-0.081	0.980991834636687
ENSG00000014216.14	CAPN1	-0.89	0.448460774062361
ENSG00000014257.14	ACPP	0.495	0.95983908763956
ENSG00000014641.16	MDH1	-0.653	0.753995592690934
ENSG00000014824.12	SLC30A9	-0.176	0.945026435528056
ENSG00000014914.18	MTMR11	0.074	0.994617878470561
ENSG00000014919.11	COX15	0.119	0.975758083741914
ENSG00000015133.17	CCDC88C	0.404	0.955597362641539
ENSG00000015153.13	YAF2	-0.265	0.882744912678737
ENSG00000015171.17	ZMYND11	-0.454	0.748740446983
ENSG00000015285.9	WAS	-1.993	0.186011272517474
ENSG00000015413.8	DPEP1	2.413	0.621114414151632
ENSG00000015475.17	BID	0.072	0.991023137179418
ENSG00000015479.16	MATR3	0.775	0.699096945149233
ENSG00000015520.13	NPC1L1	-0.502	0.967169234510297
ENSG00000015532.8	XYLT2	-0.071	0.982442185129749
ENSG00000015676.16	NUDCD3	-0.283	0.837120097813793
ENSG00000016391.9	CHDH	-0.783	0.797225849094221
ENSG00000016402.11	IL20RA	0.21	0.987824373716955
ENSG00000016864.15	GLT8D1	-0.453	0.761085662547965
ENSG00000017260.18	ATP2C1	-0.546	0.760105806704016
ENSG00000017427.14	IGF1	1.437	0.693478857003578
ENSG00000017483.13	SLC38A5	0.448	0.97288345678241
ENSG00000017797.10	RALBP1	-0.05	0.9880343453621
ENSG00000018189.11	RUFY3	0.325	0.889379487736613
ENSG00000018236.13	CNTN1	0.208	0.988467719666183
ENSG00000018280.15	SLC11A1	0.305	0.972374169433838
ENSG00000018408.13	WWTR1	-0.845	0.817378844996709
ENSG00000018510.11	AGPS	0.258	0.911538284112502
ENSG00000018610.12	CXorf56	-0.075	0.978523836921537
ENSG00000018625.13	ATP1A2	-2.044	0.489314711314484
ENSG00000018699.10	TTC27	0.34	0.803327999427815
ENSG00000018869.15	ZNF582	-0.978	0.822213370854976
ENSG00000019102.10	VSIG2	-0.423	0.979689701413654
ENSG00000019144.15	PHLDB1	-0.266	0.963337893034027
ENSG00000019169.10	MARCO	-2.756	0.473392497950502
ENSG00000019485.11	PRDM11	-0.145	0.981243897531503
ENSG00000019505.6	SYT13	-1.761	0.7503915989789
ENSG00000019549.7	SNAI2	-1.77	0.590316685544854
ENSG00000019582.13	CD74	-3.279	0.0312411541384948
ENSG00000019991.14	HGF	-0.794	0.859867413412227
ENSG00000019995.6	ZRANB1	-0.079	0.988467719666183
ENSG00000020129.14	NCDN	-0.898	0.453086198067954
ENSG00000020181.16	ADGRA2	-0.591	0.890486091352215
ENSG00000020256.18	ZFP64	0.013	0.99721597945701
ENSG00000020426.9	MNAT1	0.473	0.814409416006141
ENSG00000020577.12	SAMD4A	-0.335	0.910121113111785
ENSG00000020633.17	RUNX3	0.663	0.932991834764953
ENSG00000020922.11	MRE11A	-0.053	0.985578772171487
ENSG00000021300.12	PLEKHB1	1.263	0.695679484938001
ENSG00000021355.11	SERPINB1	-0.124	0.977181771104685
ENSG00000021488.11	SLC7A9	-1.47	0.827464668393134
ENSG00000021574.10	SPAST	0.699	0.314802053663821
ENSG00000021645.16	NRXN3	-0.629	0.901372019363546
ENSG00000021762.18	OSBPL5	-0.573	0.821280978410385
ENSG00000021776.9	AQR	0.417	0.797225849094221
ENSG00000021826.13	CPS1	-3.431	0.552971894623681
ENSG00000021852.11	C8B	-4.383	0.235576840547369
ENSG00000022267.15	FHL1	-1.379	0.527586829671583
ENSG00000022277.11	RTFDC1	-0.166	0.911351528611031
ENSG00000022556.14	NLRP2	-0.693	0.967529506492485
ENSG00000022567.8	SLC45A4	0.04	0.99721597945701
ENSG00000022840.14	RNF10	-0.372	0.82043153854508
ENSG00000022976.14	ZNF839	-0.217	0.945909408928873
ENSG00000023041.10	ZDHHC6	0.386	0.812015159887963
ENSG00000023171.13	GRAMD1B	-0.658	0.907858405435781
ENSG00000023191.15	RNH1	-0.362	0.838632734418193
ENSG00000023228.12	NDUFS1	-0.142	0.975183016318045
ENSG00000023287.11	RB1CC1	-0.331	0.906621155343987
ENSG00000023318.7	ERP44	-0.431	0.865812118247502
ENSG00000023330.13	ALAS1	-0.786	0.659024398535294
ENSG00000023445.12	BIRC3	-1.981	0.404672552092456
ENSG00000023516.8	AKAP11	0.68	0.665559219861617
ENSG00000023572.7	GLRX2	-0.101	0.982526347127772
ENSG00000023608.4	SNAPC1	0.658	0.72629853801832
ENSG00000023697.11	DERA	0.021	0.99721597945701
ENSG00000023734.9	STRAP	0.17	0.959647638065988
ENSG00000023839.9	ABCC2	2.739	0.480276366858909
ENSG00000023892.10	DEF6	-0.083	0.991023137179418
ENSG00000023902.12	PLEKHO1	-0.556	0.912353390925019
ENSG00000023909.8	GCLM	2.445	0.0319908920243943
ENSG00000024048.9	UBR2	-0.117	0.97355477782439
ENSG00000024422.10	EHD2	-0.922	0.718978923652157
ENSG00000024526.15	DEPDC1	0.243	0.979689701413654
ENSG00000024862.15	CCDC28A	-0.193	0.972625444616831
ENSG00000025039.13	RRAGD	-0.531	0.912181345493727
ENSG00000025156.11	HSF2	0.848	0.507385800549834
ENSG00000025293.14	PHF20	0.274	0.823402076162419
ENSG00000025423.10	HSD17B6	-4.208	0.312301189164094
ENSG00000025434.17	NR1H3	0.124	0.977739368539447
ENSG00000025708.11	TYMP	-0.96	0.7222445056072
ENSG00000025770.17	NCAPH2	-0.076	0.984483347705939
ENSG00000025772.7	TOMM34	0.074	0.991023137179418
ENSG00000025796.12	SEC63	0.334	0.87394802434501
ENSG00000025800.12	KPNA6	-0.229	0.932871574616364
ENSG00000026025.12	VIM	-2.06	0.34061994558719
ENSG00000026036.19	RTEL1-TNFRSF6B	0.339	0.918148898986345
ENSG00000026103.18	FAS	-0.046	0.995762632741096
ENSG00000026297.14	RNASET2	0.57	0.900503628111272
ENSG00000026508.15	CD44	-0.863	0.906401420472284
ENSG00000026559.12	KCNG1	-1.257	0.766084571956179
ENSG00000026652.12	AGPAT4	-0.355	0.958233135409367
ENSG00000026751.15	SLAMF7	-3.711	0.153772749002268
ENSG00000026950.15	BTN3A1	-0.453	0.911351528611031
ENSG00000027001.8	MIPEP	-0.251	0.953834748329585
ENSG00000027075.12	PRKCH	-0.316	0.948651968572982
ENSG00000027697.11	IFNGR1	-0.919	0.561042844133145
ENSG00000027847.12	B4GALT7	0.007	0.998591466615811
ENSG00000027869.10	SH2D2A	-1.179	0.78949865449939
ENSG00000028116.15	VRK2	-0.007	0.998673046843613
ENSG00000028137.15	TNFRSF1B	-1.181	0.687078150302111
ENSG00000028203.16	VEZT	-0.209	0.959647638065988
ENSG00000028277.19	POU2F2	-0.551	0.910228979957821
ENSG00000028310.16	BRD9	0.089	0.988467719666183
ENSG00000028528.13	SNX1	-0.025	0.991876578494389
ENSG00000028839.8	TBPL1	0.204	0.95417821843153
ENSG00000029153.13	ARNTL2	-0.478	0.93177404449668
ENSG00000029363.14	BCLAF1	0.283	0.889111057352053
ENSG00000029364.10	SLC39A9	0.113	0.977065385518102
ENSG00000029534.18	ANK1	-2.453	0.519391236153983
ENSG00000029559.6	IBSP	-0.344	0.9849929588497
ENSG00000029639.9	TFB1M	0.609	0.767139762064714
ENSG00000029725.15	RABEP1	0.127	0.963337893034027
ENSG00000029993.13	HMGB3	0.165	0.979689701413654
ENSG00000030066.12	NUP160	0.382	0.816401159854571
ENSG00000030110.11	BAK1	-0.237	0.932644646009772
ENSG00000030419.15	IKZF2	-0.868	0.84881447098596
ENSG00000030582.15	GRN	-0.114	0.977181771104685
ENSG00000031003.9	FAM13B	-0.491	0.763918829828994
ENSG00000031081.9	ARHGAP31	-1.477	0.383062290505669
ENSG00000031691.6	CENPQ	0.28	0.920292700900924
ENSG00000031698.11	SARS	-0.353	0.899005523622755
ENSG00000031823.13	RANBP3	-0.47	0.480276366858909
ENSG00000032219.17	ARID4A	-0.096	0.982442185129749
ENSG00000032389.11	TSSC1	0.208	0.949485528707759
ENSG00000032444.14	PNPLA6	-0.35	0.863399592331303
ENSG00000032742.16	IFT88	0.048	0.991506962282656
ENSG00000033011.10	ALG1	-0.173	0.920328065809185
ENSG00000033030.12	ZCCHC8	0.091	0.977181771104685
ENSG00000033050.6	ABCF2	0.034	0.992146469408355
ENSG00000033100.13	CHPF2	0.133	0.975183016318045
ENSG00000033122.17	LRRC7	-2.507	0.580901459969784
ENSG00000033170.15	FUT8	0.823	0.856827803106979
ENSG00000033178.11	UBA6	0.073	0.979689701413654
ENSG00000033327.11	GAB2	-0.805	0.698824799116851
ENSG00000033627.13	ATP6V0A1	-0.481	0.831066515846134
ENSG00000033800.12	PIAS1	-0.057	0.986263367826178
ENSG00000033867.15	SLC4A7	0.098	0.991023137179418
ENSG00000034053.13	APBA2	-2.105	0.465189902496561
ENSG00000034152.17	MAP2K3	-0.118	0.979374100058666
ENSG00000034510.5	TMSB10	-0.291	0.960682114880048
ENSG00000034533.10	ASTE1	-0.273	0.892513747631369
